# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC ffn_moe_out-26     ne=[2048,6] sum=0.08236 absum=12.56401 v0=0.005012 v1=0.002066 v2=0.005972
ORC ffn_out-26         ne=[2048,6] sum=-1.61879 absum=19.70170 v0=0.006469 v1=0.008794 v2=-0.004443
ORC l_out-26           ne=[2048,6] sum=-1.92492 absum=97.80494 v0=-0.035508 v1=0.046871 v2=-0.038128
ORC attn_gated-27      ne=[4096,6] sum=1.94855 absum=29.76646 v0=0.006279 v1=-0.005515 v2=-0.005291
ORC attn_output-27     ne=[2048,6] sum=1.17517 absum=16.38771 v0=0.019314 v1=-0.000766 v2=0.017715
ORC ffn_moe_out-27     ne=[2048,6] sum=0.85899 absum=19.87952 v0=-0.010076 v1=0.007235 v2=0.016595
ORC ffn_out-27         ne=[2048,6] sum=0.45419 absum=21.90904 v0=-0.007428 v1=0.007115 v2=0.014950
ORC l_out-27           ne=[2048,6] sum=-0.29556 absum=99.38288 v0=-0.023621 v1=0.053220 v2=-0.005463
ORC conv_output_silu-28 ne=[8192,6] sum=44.21542 absum=280.06731 v0=0.019061 v1=0.029756 v2=-0.006519
ORC attn_output-28     ne=[128,32] sum=-0.00190 absum=0.00945 v0=-0.000004 v1=0.000088 v2=0.000070
